Argument,ID,Result name,Data type,L/H,Unit,Name,Multiplier,Divisor,Offset (additive),Label,Description (German),Description (English)
Air_tEGRClrLPDs,0x077A,STAT_Air_tEGRClrLPDs_WERT,unsigned int,-,degC,-,0.016022,-,-50,Air_tEGRClrLPDs,Temperatur nach Niederdruck-Abgaskühler,Temperature after low-pressure exhaust gas cooler
Air_tSensTAFS,0x0771,STAT_Air_tSensTAFS_WERT,unsigned int,-,degC,-,0.01,-,-50,Air_tSensTAFS,Erfasster Wert der Lufttemperatur an der HFM-Position,Recorded value of the air temperature at the HFM position
Air_tSensTEGRClrDs,0x0776,STAT_Air_tSensTEGRClrDs_WERT,unsigned int,-,degC,-,0.016022,-,-50,Air_tSensTEGRClrDs,Erfasster Wert der Abgastemperatur nach dem AGR-kühler,Recorded value of the exhaust gas temperature after the EGR cooler
Air_tSensTEGRClrLPDs,0x0779,STAT_Air_tSensTEGRClrLPDs_WERT,unsigned int,-,degC,-,0.016022,-,-50,Air_tSensTEGRClrLPDs,Erfasste Temperatur nach Abgaskühler,Recorded temperature after exhaust gas cooler
Air_uRawTCACDs,0x0770,STAT_Air_uRawTCACDs_WERT,unsigned int,-,mV,-,0.076295,-,0,Air_uRawTCACDs,Spannungsrohwert aus ADC für CACDsT,Raw voltage value from ADC for CACDsT
Air_uRawTEGRClrDs,0x0775,STAT_Air_uRawTEGRClrDs_WERT,unsigned int,-,mV,-,0.076295,-,0,Air_uRawTEGRClrDs,Spannungsrohwert aus dem Temperatursensor nach dem AGR-kühler,Raw voltage value from the temperature sensor after the EGR cooler
Air_uRawTEGRClrLPDs,0x0778,STAT_Air_uRawTEGRClrLPDs_WERT,unsigned int,-,mV,-,0.076295,-,0,Air_uRawTEGRClrLPDs,Spannungsrohwert aus dem Temperatursensor nach dem ND-AGR-kühler,Raw voltage value from the temperature sensor after the LP EGR cooler
AirC_stPsCmpr,0x07B2,STAT_AirC_stPsCmpr_WERT,unsigned char,-,-,-,1,-,0,AirC_stPsCmpr,Endg?ltiger Digitalausgang zur Endstufe des Klimaanlagen-Kompressorstellers,Final digital output to the final stage of the air conditioning compressor actuator
AirCtl_arEGRDes,0x0794,STAT_AirCtl_arEGRDes_WERT,unsigned int,-,cm^2,-,0.004,-,0,AirCtl_arEGRDes,Sollfl?che des Abgasr?ckf?hrventils,Target area of __the exhaust gas recirculation valve
AirCtl_arEGREst,0x079B,STAT_AirCtl_arEGREst_WERT,unsigned int,-,cm^2,-,0.004,-,0,AirCtl_arEGREst,gesch?tzte Istfl?che des Abgasr?ckf?hrventils,Estimated actual area of __the exhaust gas recirculation valve
AirCtl_arTVADes,0x0795,STAT_AirCtl_arTVADes_WERT,unsigned int,-,cm^2,-,0.004,-,0,AirCtl_arTVADes,Sollfl?che der Drosselklappe,Target surface of the throttle valve
AirCtl_arTVAEst,0x079C,STAT_AirCtl_arTVAEst_WERT,unsigned int,-,cm^2,-,0.004,-,0,AirCtl_arTVAEst,gesch?tzte Istfl?che der Drosselklappe,Estimated actual area of __the throttle valve
AirCtl_dmAirDesDyn_r32,0x079A,STAT_AirCtl_dmAirDesDyn_r32_WERT,motorola float,-,kg/h,-,1,-,0,AirCtl_dmAirDesDyn_r32,dynamisch adaptierter Sollluftmassenstrom in den Motor,Dynamically adapted nominal air mass flow into the engine
AirCtl_dmEGRDes_r32,0x0796,STAT_AirCtl_dmEGRDes_r32_WERT,motorola float,-,kg/h,-,1,-,0,AirCtl_dmEGRDes_r32,Sollmassenstrom ?ber Abgasr?ckf?hrventil,Target mass flow via exhaust gas recirculation valve
AirCtl_dmTVADes_r32,0x0797,STAT_AirCtl_dmTVADes_r32_WERT,motorola float,-,kg/h,-,1,-,0,AirCtl_dmTVADes_r32,Sollmassenstrom ?ber Drosselklappe,Target mass flow via throttle valve
AirCtl_mAirPerCylDesDyn,0x07AA,STAT_AirCtl_mAirPerCylDesDyn_WERT,unsigned int,-,mg/Hub,-,0.1,-,0,AirCtl_mAirPerCylDesDyn,dynamisch adaptierte Luftmasse,Dynamically adapted air mass
AirCtl_mDesBasEOM0,0x07A8,STAT_AirCtl_mDesBasEOM0_WERT,unsigned int,-,mg/Hub,-,0.1,-,0,AirCtl_mDesBasEOM0,Luftmasse - Basiswert aus Kennfeld,Air mass - base value from characteristic map
AirCtl_mGovDvt,0x07A2,STAT_AirCtl_mGovDvt_WERT,unsigned int,-,mg/Hub,-,0.1,-,0,AirCtl_mGovDvt,Luftmasse - Regelabweichung,Air mass - deviation
AirCtl_pTrbnUs_r32,0x079D,STAT_AirCtl_pTrbnUs_r32_WERT,motorola float,-,hPa,-,1,-,0,AirCtl_pTrbnUs_r32,gesch?tzter Druck stromaufw?rts des Abgasr?ckf?hrventils,Estimated pressure upstream of the exhaust gas recirculation valve
AirCtl_rDesBasEOM0,0x07A9,STAT_AirCtl_rDesBasEOM0_WERT,unsigned int,-,-,-,0.01,-,0,AirCtl_rDesBasEOM0,Basiswert der AGR-Stellung,Underlying of the EGR position
AirCtl_rDesVal,0x0793,STAT_AirCtl_rDesVal_WERT,unsigned int,-,-,-,0.01,-,0,AirCtl_rDesVal,Gesamtsollabgasr?ckf?hrrate,Gesamtsollabgasr?ckf?hrrate
AirCtl_rEGREst,0x07AD,STAT_AirCtl_rEGREst_r32_WERT,unsigned int,-,%,-,0.012207,-,0,AirCtl_rEGREst,gesch?tzte Gesamtistabgasr?ckf?hrrate,Estimated total exhaust gas return rate
AirCtl_rGovDvtNrm,0x07A6,STAT_AirCtl_rGovDvtNrm_WERT,unsigned int,-,%,-,0.012207,-,0,AirCtl_rGovDvtNrm,Abgasr?ckf?hrregelung - Regelabweichung,Exhaust gas recirculation control - control deviation
AirCtl_rRatDesDyn,0x07AB,STAT_AirCtl_rRatDesDyn_WERT,unsigned int,-,-,-,0.01,-,0,AirCtl_rRatDesDyn,dynamisch adaptierte Gesamtsollabgasr?ckf?hrrate im Motor,Dynamically adapted total nominal exhaust gas recirculation rate in the engine
AirCtl_rRatDesDyn_r32,0x0799,STAT_AirCtl_rRatDesDyn_r32_WERT,motorola float,-,%,-,1,-,0,AirCtl_rRatDesDyn_r32,dynamisch adaptierte Gesamtsollabgasr?ckf?hrrate im Motor,Dynamically adapted total nominal exhaust gas recirculation rate in the engine
AirCtl_rRatGovDvt,0x07AC,STAT_AirCtl_rRatGovDvt_WERT,unsigned int,-,-,-,0.01,-,0,AirCtl_rRatGovDvt,Regelabweichung der AGR-Rate,Control deviation of the EGR rate
AirCtl_stAirCtlBits,0x07A0,STAT_AirCtl_stAirCtlBits_WERT,unsigned long,-,-,-,1,-,0,AirCtl_stAirCtlBits,aktive Abschaltf?lle der Luftmassenregelung,Active shutdown cases of the air mass control
AirCtl_stDesMax,0x0798,STAT_AirCtl_stDesMax_WERT,unsigned char,-,-,-,1,-,0,AirCtl_stDesMax,"Status, ob einer der Sollwerte AGR-Rate oder Luftmasse in Max-Begrenzung",Status whether one of the setpoints EGR rate or air mass in max limit
AirCtl_stMon,0x07A1,STAT_AirCtl_stMon_WERT,unsigned char,-,-,-,1,-,0,AirCtl_stMon,urs?chlicher Abschaltfall der Luftmassenregelung,Uitable shutdown case of the air mass control
AirCtl_stMonBits,0x07A7,STAT_AirCtl_stMonBits_mp_WERT,unsigned long,-,-,-,1,-,0,AirCtl_stMonBits,"selektierte, aktive Abschaltf?lle der Luftmassenregelung",Selected active shutdown cases of the air mass control
AirCtl_stMonBitsRaw_mp,0x07AE,STAT_AirCtl_stMonBitsRaw_mp_WERT,unsigned long,-,-,-,1,-,0,AirCtl_stMonBitsRaw_mp,Bits vor TimeToClosedLoop-Function,Bits before TimeToClosedLoop function
AirCtl_stPrioRat,0x0792,STAT_AirCtl_stPrioRat_WERT,unsigned char,-,-,-,1,-,0,AirCtl_stPrioRat,"Status, der anzeigt, ob die Gesamtabgas?ckf?hrrate die priorisierte Sollgr?sse ist",Status indicating whether the total exhaust gas recirculation rate is the prioritized target value
AirSys_dRED1_mp,0x1423,STAT_AirSys_dRED1_mp_WERT,unsigned int,-,-,-,0.012512,-,-410,AirSys_dRED1_mp,Ergebnis der LMS-Test Berechnung für dRED1,LMS test calculation result - dRED1
AirSys_dRED2_mp,0x1424,STAT_AirSys_dRED2_mp_WERT,unsigned int,-,-,-,0.012512,-,-410,AirSys_dRED2_mp,Ergebnis der LMS-Test Berechnung für dRED2,LMS test calculation result - dRED2
AirSys_GetAbrtReason_mp,0x1438,STAT_AirSys_GetAbrtReason_mp_WERT,unsigned char,-,-,-,1,-,0,AirSys_GetAbrtReason_mp,Grund für einen Abbruch des Tests (für den ETC),Reason for discontinuation of the test (for the ETC)
AirSys_GetSt_mp,0x1439,STAT_AirSys_GetSt_mp_WERT,unsigned char,-,-,-,1,-,0,AirSys_GetSt_mp,aktueller Status des Tests (für den ETC),Current status of the test (for the ETC)
AirSys_mLBer1_mp,0x1434,STAT_AirSys_mLBer1_mp_WERT,unsigned long,-,kg/h,-,0.1,-,0,AirSys_mLBer1_mp,Ergebnis der LMS-Test-Berechnung für Referenzluftmassenstrom in den Motor bei hoher Drehzahl,LMS test calculation result - reference air mass flow into the engine at high speed
AirSys_mLBer2_mp,0x1435,STAT_AirSys_mLBer2_mp_WERT,unsigned long,-,kg/h,-,0.1,-,0,AirSys_mLBer2_mp,Ergebnis der LMS-Test-Berechnung für Referenzluftmassenstrom in den Motor im Leerlauf,LMS test calculation result - reference mass air flow into the engine during idling
AirSys_mLHFM1_mp,0x1432,STAT_AirSys_mLHFM1_mp_WERT,unsigned long,-,kg/h,-,0.1,-,0,AirSys_mLHFM1_mp,Ergebnis der LMS-Test-Berechnung für Mittelwert des Luftmassenstroms bei hoher Drehzahl,LMS test calculation result - mean value of air mass flow at high speed
AirSys_mLHFM2_mp,0x1433,STAT_AirSys_mLHFM2_mp_WERT,unsigned long,-,kg/h,-,0.1,-,0,AirSys_mLHFM2_mp,Ergebnis der LMS-Test-Berechnung für Mittelwert des Luftmassenstroms im Leerlauf,LMS test calculation result - the mean value of the air mass flow at idle
AirSys_mLM10_mp,0x1427,STAT_AirSys_mLM10_mp_WERT,unsigned long,-,kg/h,-,0.1,-,0,AirSys_mLM10_mp,Ergebnis der LMS-Test-Berechnung für Luftmassenbasismittelwert LM10 bei <LDS aus>,LMS test calculation result - air mass base mean LM10 at <LDS off>
AirSys_mLM11_mp,0x1428,STAT_AirSys_mLM11_mp_WERT,unsigned long,-,kg/h,-,0.1,-,0,AirSys_mLM11_mp,Ergebnis der LMS-Test-Berechnung für Luftmassenmittelwert LM11 bei <LDS aus>,LMS test calculation result - air mass mean LM11 at <LDS off>
AirSys_mLM12_mp,0x1429,STAT_AirSys_mLM12_mp_WERT,unsigned long,-,kg/h,-,0.1,-,0,AirSys_mLM12_mp,Ergebnis der LMS-Test-Berechnung für Luftmassenmittelwert LM12 bei <LDS aus>,LMS test calculation result - air mass mean LM12 at <LDS off>
AirSys_mLM13_mp,0x142A,STAT_AirSys_mLM13_mp_WERT,unsigned long,-,kg/h,-,0.1,-,0,AirSys_mLM13_mp,Ergebnis der LMS-Test-Berechnung für Luftmassenmittelwert LM13 bei <LDS aus>,LMS test calculation result - air mass mean LM13 at <LDS off>
AirSys_mLM20_mp,0x142B,STAT_AirSys_mLM20_mp_WERT,unsigned long,-,kg/h,-,0.1,-,0,AirSys_mLM20_mp,Ergebnis der LMS-Test-Berechnung für Luftmassenbasismittelwert LM20 bei <LDS ein>,LMS test calculation result - air mass average LM20 at <LDS on>
AirSys_mLM21_mp,0x142C,STAT_AirSys_mLM21_mp_WERT,unsigned long,-,kg/h,-,0.1,-,0,AirSys_mLM21_mp,Ergebnis der LMS-Test-Berechnung für Luftmassenmittelwert LM21 bei <LDS ein>,LMS test calculation result - air mass mean LM21 at <LDS on>
AirSys_mLM22_mp,0x142D,STAT_AirSys_mLM22_mp_WERT,unsigned long,-,kg/h,-,0.1,-,0,AirSys_mLM22_mp,Ergebnis der LMS-Test-Berechnung für Luftmassenmittelwert LM22 bei <LDS ein>,LMS test calculation result - air mass mean LM22 at <LDS on>
AirSys_p21max1_mp,0x1430,STAT_AirSys_p21max1_mp_WERT,unsigned int,-,hPa,-,1,-,0,AirSys_p21max1_mp,Ergebnis der LMS-Test-Berechnung für Ladedruck nach Wartezeit T_WAIT_1,LMS test calculation result - boost pressure after waiting time T_WAIT_1
AirSys_p21max2_mp,0x1431,STAT_AirSys_p21max2_mp_WERT,unsigned int,-,hPa,-,1,-,0,AirSys_p21max2_mp,Ergebnis der LMS-Test-Berechnung für Ladedruck nach Wartezeit T_WAIT_2,LMS test calculation result - boost pressure after waiting time T_WAIT_2
AirSys_rDIFF1_mp,0x1425,STAT_AirSys_rDIFF1_mp_WERT,unsigned int,-,-,-,0.012512,-,-410,AirSys_rDIFF1_mp,Ergebnis der LMS-Test für Berechnung DIFF1,LMS test calculation result - DIFF1
AirSys_rDIFF2_mp,0x1426,STAT_AirSys_rDIFF2_mp_WERT,unsigned int,-,-,-,0.012512,-,-410,AirSys_rDIFF2_mp,Ergebnis der LMS-Test für Berechnung DIFF2,LMS test calculation result - DIFF2
AirSys_rLverh1_mp,0x1436,STAT_AirSys_rLverh1_mp_WERT,unsigned int,-,-,-,0.01,-,0,AirSys_rLverh1_mp,Ergebnis der LMS-Test für HFM Wert im oberen Luftmassenbereich,LMS test result - HFM value in the upper air mass range
AirSys_rLverh2_mp,0x1437,STAT_AirSys_rLverh2_mp_WERT,unsigned int,-,-,-,0.01,-,0,AirSys_rLverh2_mp,Ergebnis der LMS-Test für HFM Wert im Leerlauf-Luftmassenbereich,LMS test result - HFM value in the idle air mass range
AirSys_rRED11_mp,0x141E,STAT_AirSys_rRED11_mp_WERT,unsigned int,-,-,-,0.012512,-,-410,AirSys_rRED11_mp,Ergebnis der LMS-Test für Berechnung RED11,LMS test calculation result - RED11
AirSys_rRED12_mp,0x141F,STAT_AirSys_rRED12_mp_WERT,unsigned int,-,-,-,0.012512,-,-410,AirSys_rRED12_mp,Ergebnis der LMS-Test für Berechnung RED12,LMS test calculation result - RED12
AirSys_rRED13_mp,0x1420,STAT_AirSys_rRED13_mp_WERT,unsigned int,-,-,-,0.012512,-,-410,AirSys_rRED13_mp,Ergebnis der LMS-Test für Berechnung RED13,LMS test calculation result - RED13
AirSys_rRED21_mp,0x1421,STAT_AirSys_rRED21_mp_WERT,unsigned int,-,-,-,0.012512,-,-410,AirSys_rRED21_mp,Ergebnis der LMS-Test für Berechnung RED21,LMS test calculation result - RED21
AirSys_rRED22_mp,0x1422,STAT_AirSys_rRED22_mp_WERT,unsigned int,-,-,-,0.012512,-,-410,AirSys_rRED22_mp,Ergebnis der LMS-Test für Berechnung RED22,LMS test calculation result - RED22
AirSys_ststateSysTst_mp,0x142E,STAT_AirSys_ststateSysTst_mp_WERT,unsigned char,-,-,-,1,-,0,AirSys_ststateSysTst_mp,Status des LMS-Tests (interne Gr??e),Status of the LMS test (internal size)
AirSys_stsubstateSysTst_mp,0x142F,STAT_AirSys_stsubstateSysTst_mp_WERT,unsigned char,-,-,-,1,-,0,AirSys_stsubstateSysTst_mp,Sub-Status des LMS-Tests (interne Gr??e),Sub-status of the LMS test (internal size)
AirSys_stSysTst,0x143A,STAT_AirSys_stSysTst_WERT,unsigned long,-,-,-,1,-,0,AirSys_stSysTst,Status und Ergebnisse des Luftmassensystemtests,Status and results of the air mass system test
APP_r,0x0162,STAT_APP_r_WERT,unsigned int,-,%,-,0.012207,-,0,APP_r,Pedalwertgeberposition,Pedal sensor position
APP_stKD,0x0164,STAT_APP_stKD_WERT,unsigned char,-,-,-,1,-,0,APP_stKD,Status Kickdown (Gaspedal),Status kickdown (accelerator pedal)
APP_stSigSrc,0x0163,STAT_APP_stSigSrc_WERT,unsigned char,-,-,-,1,-,0,APP_stSigSrc,Status des F?hrungssignals zur weiteren Berechnung des Fahrerwunsches,Status of the command signal for further calculation of the driver request
ASDdc_stSelSt_mp,0x0B55,STAT_ASDdc_stSelSt_mp_WERT,unsigned int,-,-,-,1,-,0,ASDdc_stSelSt_mp,Ausgew?hlter Prim?rzustand (dezimal codiert),Selected primary state (decimal coded)
ASDrf_stSelSt_mp,0x0B86,STAT_ASDrf_stSelSt_mp_WERT,unsigned int,-,-,-,1,-,0,ASDrf_stSelSt_mp,Ausgew?hlter Prim?rzustand (dezimal codiert),Selected primary state (decimal coded)
ASMod_dmEGFld_0,0x114A,STAT_ASMod_dmEGFld0_WERT,unsigned int,-,kg/h,-,0.022889,-,0,ASMod_dmEGFld_0,Feld der Abgasmassenstr?me 0,Exhaust gas mass flow field 0
ASMod_dmEGFld_1,0x114B,STAT_ASMod_dmEGFld1_WERT,unsigned int,-,kg/h,-,0.022889,-,0,ASMod_dmEGFld_1,Feld der Abgasmassenstr?me 1,Exhaust gas mass flow field 1
ASMod_dmEGFld_2,0x114C,STAT_ASMod_dmEGFld2_WERT,unsigned int,-,kg/h,-,0.022889,-,0,ASMod_dmEGFld_2,Feld der Abgasmassenstr?me 2,Exhaust gas mass flow field 2
ASMod_dmEGFld_3,0x114D,STAT_ASMod_dmEGFld3_WERT,unsigned int,-,kg/h,-,0.022889,-,0,ASMod_dmEGFld_3,Feld der Abgasmassenstr?me 3,Exhaust gas mass flow field 3
ASMod_dmEGFld_4,0x114E,STAT_ASMod_dmEGFld4_WERT,unsigned int,-,kg/h,-,0.022889,-,0,ASMod_dmEGFld_4,Feld der Abgasmassenstr?me 4,Exhaust gas mass flow field 4
ASMod_dmEGFld_5,0x114F,STAT_ASMod_dmEGFld5_WERT,unsigned int,-,kg/h,-,0.022889,-,0,ASMod_dmEGFld_5,Feld der Abgasmassenstr?me 5,Exhaust gas mass flow field 5
ASMod_dmEGFld_6,0x1150,STAT_ASMod_dmEGFld6_WERT,unsigned int,-,kg/h,-,0.022889,-,0,ASMod_dmEGFld_6,Feld der Abgasmassenstr?me 6,Exhaust gas mass flow field 6
ASMod_dmEGFld_7,0x1151,STAT_ASMod_dmEGFld7_WERT,unsigned int,-,kg/h,-,0.022889,-,0,ASMod_dmEGFld_7,Feld der Abgasmassenstr?me 7,Exhaust gas mass flow field 7
ASMod_dmEGFld_8,0x1152,STAT_ASMod_dmEGFld8_WERT,unsigned int,-,kg/h,-,0.022889,-,0,ASMod_dmEGFld_8,Feld der Abgasmassenstr?me 8,Exhaust gas mass flow field 8
ASMod_dmEGFld_9,0x1153,STAT_ASMod_dmEGFld9_WERT,unsigned int,-,kg/h,-,0.022889,-,0,ASMod_dmEGFld_9,Feld der Abgasmassenstr?me 9,Exhaust gas mass flow field 9
ASMod_dmEGRDs,0x0C89,STAT_ASMod_dmEGRDs_WERT,unsigned int,-,kg/h,-,0.009155,-,-100,ASMod_dmEGRDs,r?ckgef?hrter Abgasmassenstrom nach AGR-kühler (aus AsMod),Returned exhaust gas mass flow to EGR cooler (made of AsMod)
ASMod_dmEGRLPDs,0x0C93,STAT_ASMod_dmEGRLPDs_WERT,unsigned int,-,kg/h,-,0.1,-,0,ASMod_dmEGRLPDs,r?ckgef?hrter Abgasmassenstrom nach Niederdruck-AGR,Returned exhaust gas mass flow to low-pressure EGR
ASMod_dmIndAirRef,0x0C80,STAT_ASMod_dmIndAirRef_WERT,unsigned int,-,kg/h,-,0.048829,-,-1600,ASMod_dmIndAirRef,Referenzgasmassenstrom in den Motor,Reference gas mass flow into the engine
ASMod_dmIntMnfDs,0x0C8D,STAT_ASMod_dmIntMnfDs_WERT,unsigned int,-,kg/h,-,0.076295,-,0,ASMod_dmIntMnfDs,Ladungsmassenstrom (aus AsMod),Charge mass flow (from AsMod)
ASMod_dmIntMnfDsRef,0x0C9A,STAT_ASMod_dmIntMnfDsRef_WERT,unsigned int,-,kg/h,-,0.076295,-,0,ASMod_dmIntMnfDsRef,Referenz des Gasmassenstroms nach Einlasskr?mmer,Reference of gas mass flow to intake manifold
ASMod_dmIntMnfUs,0x0C8B,STAT_ASMod_dmIntMnfUs_WERT,unsigned int,-,kg/h,-,0.076295,-,0,ASMod_dmIntMnfUs,Gasmassenstrom vor AGR-Einleitung (aus AsMod),Gas mass flow before EGR introduction (from AsMod)
ASMod_dmNOxEG,0x1149,STAT_ASMod_dmNOxEG_WERT,unsigned long,-,mg/s,-,0.01,-,0,ASMod_dmNOxEG,NOx-Massenstrom im Abgas nach Verbrennung,NOx mass flow in the exhaust after combustion
ASMod_dvolPFltEG,0x0C83,STAT_ASMod_dvolPFltEG_WERT,unsigned long,-,m^3/h,-,0.1,-,0,ASMod_dvolPFltEG,berechneter Abgasvolumenstrom im Partikelfilter,Calculated exhaust gas volume flow in the particle filter
ASMod_facEGRClgDvtHi_mp,0x0C95,STAT_ASMod_facEGRClgDvtHi_mp_WERT,unsigned int,-,-,-,0.000122,-,0,ASMod_facEGRClgDvtHi_mp,akt. Steigung der Adaptionsgeraden für gro?e HDAGR-Massenstr?me,Actual slope of the adaptation line for large HDAGR mass flows
ASMod_facEGRClgDvtLo_mp,0x0C96,STAT_ASMod_facEGRClgDvtLo_mp_WERT,unsigned int,-,-,-,0.000122,-,0,ASMod_facEGRClgDvtLo_mp,akt. Steigung der Adaptionsgeraden für kleine HDAGR-Massenstr?me,Actual slope of the adaptation line for small HDAGR mass flows
ASMod_facEGRClgHiDev_mp,0x0C9D,STAT_ASMod_facEGRClgHiDev_mp_WERT,unsigned int,-,-,-,0.003052,-,-100,ASMod_facEGRClgHiDev_mp,Referenzsteigung - akt. Steigung der Adaptionsgeraden für gro?e HDAGR-Massenstr?me,Reference slope - actual slope of the adaptation line for large HDAGR mass flows
ASMod_facEGRClgLoDev_mp,0x0C9E,STAT_ASMod_facEGRClgLoDev_mp_WERT,unsigned int,-,-,-,0.003052,-,-100,ASMod_facEGRClgLoDev_mp,Referenzsteigung - akt. Steigung der Adaptionsgeraden für kleine HDAGR-Massenstr?me,Reference slope - actual slope of the adaptation line for small HDAGR mass flows
ASMod_facEGRLPClgDvtHi_mp,0x0C97,STAT_ASMod_facEGRLPClgDvtHi_mp_WERT,unsigned int,-,-,-,0.000122,-,0,ASMod_facEGRLPClgDvtHi_mp,akt. Steigung der Adaptionsgeraden für gro?e NDAGR-Massenstr?me,Actual slope of the adaptation line for large NDAGR mass flows
ASMod_facEGRLPClgDvtLo_mp,0x0C98,STAT_ASMod_facEGRLPClgDvtLo_mp_WERT,unsigned int,-,-,-,0.000122,-,0,ASMod_facEGRLPClgDvtLo_mp,akt. Steigung der Adaptionsgeraden für kleine NDAGR-Massenstr?me,Actual slope of the adaptation line for small NDAGR mass flows
ASMod_facEGRLPClgHiDev_mp,0x0CA0,STAT_ASMod_facEGRLPClgHiDev_mp_WERT,unsigned int,-,-,-,0.003052,-,-100,ASMod_facEGRLPClgHiDev_mp,Referenzsteigung - akt. Steigung der Adaptionsgeraden für gro?e NDAGR-Massenstr?me,Reference slope - actual slope of the adaptation line for large NDAGR mass flows
ASMod_facEGRLPClgLoDev_mp,0x0C9F,STAT_ASMod_facEGRLPClgLoDev_mp_WERT,unsigned int,-,-,-,0.003052,-,-100,ASMod_facEGRLPClgLoDev_mp,Referenzsteigung - akt. Steigung der Adaptionsgeraden für kleine NDAGR-Massenstr?me,Reference slope - actual slope of the adaptation line for small NDAGR mass flows
ASMod_facEtaEGRClgObsvCor,0x0C99,STAT_ASMod_facEtaEGRClgObsvCor_WERT,unsigned int,-,-,-,0.000122,-,0,ASMod_facEtaEGRClgObsvCor,Korrekturfaktor aus HDAGR-kühler-Adaption,Correction factor from HDAGR Khler adaptation
ASMod_mAirPerCylCor,0x0C85,STAT_ASMod_mAirPerCylCor_WERT,unsigned int,-,mg/Hub,-,0.1,-,0,ASMod_mAirPerCylCor,dynamisch korrigierte Luftmasse pro Zylinder vor Mischstelle im Einlasskr?mmer,Dynamically corrected air mass per cylinder before mixing point in intake manifold
ASMod_nTrbCh,0x0C86,STAT_ASMod_nTrbCh_WERT,unsigned int,-,rpm,-,3.814755,-,0,ASMod_nTrbCh,aktuelle Drehzahl des Turboladers (aus AsMod),Current speed of the turbocharger (from AsMod)
